REGISTER_ID,OUTLET_ID,REGISTER_NAME,CASH_ACCOUNT,CASH_ACCOUNT_ID,BANK_ACCOUNT,BANK_ACCOUNT_ID,VERSION,DELETED_AT,REGION,GIFT_ACCOUNT,GIFT_ACCOUNT_ID
519,379,KHOBRRASHD,Cash KHOBRRASHD,3E+14,AL Jazeerah Bank KHOBRRASHD,3E+14,,,SA,,
520,380,EHSAOTHAIM,Cash EHSAOTHAIM,3E+14,AL Jazeerah Bank EHSAOTHAIM,3E+14,,,SA,,
521,381,SHUBAILYML,Cash SHUBAILYML,3E+14,AL Jazeerah Bank SHUBAILYML,3E+14,,,SA,,
522,382,DMMMARINA,Cash DMMMARINA,3E+14,AL Jazeerah Bank DMMMARINA,3E+14,,,SA,,
523,383,JEDMNDARIN,Cash JEDMNDARIN,3E+14,AL Jazeerah Bank JEDMNDARIN,3E+14,,,SA,,
524,384,JEDWAHBLVD,Cash JEDWAHBLVD,3E+14,AL Jazeerah Bank JEDWAHBLVD,3E+14,,,SA,,
525,385,MAKHIJZMLL,Cash MAKHIJZMLL,3E+14,AL Jazeerah Bank MAKHIJZMLL,3E+14,,,SA,,
526,386,JEDMRWACTR,Cash JEDMRWACTR,3E+14,AL Jazeerah Bank JEDMRWACTR,3E+14,,,SA,,
527,387,MAKDYAFAML,Cash MAKDYAFAML,3E+14,AL Jazeerah Bank MAKDYAFAML,3E+14,,,SA,,
528,388,JEDMUSADIA,Cash JEDMUSADIA,3E+14,AL Jazeerah Bank JEDMUSADIA,3E+14,,,SA,,
529,389,RASSBULVRD,Cash RASSBULVRD,3E+14,AL Jazeerah Bank RASSBULVRD,3E+14,,,SA,,
547,403,RYDMARINA,Cash RYDMARINA,3E+14,AL Jazeerah Bank RYDMARINA,3E+14,,,SA,,
558,409,ARARWOMNMT,Cash ARARWOMNMT,3E+14,AL Jazeerah Bank ARARWOMNMT,3E+14,,,SA,,
561,410,SKAKAPLAZA,Cash SKAKAPLAZA,3E+14,AL Jazeerah Bank SKAKAPLAZA,3E+14,,,SA,,
562,411,SKAKASHLHB,Cash SKAKASHLHB,3E+14,AL Jazeerah Bank SKAKASHLHB,3E+14,,,SA,,
571,413,SBTALYABVD,Cash SBTALYABVD,3E+14,AL Jazeerah Bank SBTALYABVD,3E+14,,,SA,,
573,414,MAKADANPLZ,Cash MAKADANPLZ,3E+14,AL Jazeerah Bank MAKADANPLZ,3E+14,,,SA,,
576,415,NJRANCFRNT,Cash NJRANCFRNT,3E+14,AL Jazeerah Bank NJRANCFRNT,3E+14,,,SA,,
