ROW_ID,BILL_TO_NAME,BILL_TO_ACCOUNT,STD_RCPT_NO,Address_SITE_NUMBER,BUSINESS_UNIT,TXN_SOURCE,TXN_TYPE,RATE_IS_CORPORATE,REC_ACTIVITY_NAME_BANK,SUBINVENTORY,INTEGRATION_SOURCE,DISTRIBUTION_ACC_ID,REC_ACTIVITY_NAME_CASH,REGION,CUSTOMER_TYPE,COST_CENTER_CODE
2366833,Hungerstation,45014,69005,525149,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RIYADHDST,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0122
2366834,Hungerstation,45014,69006,525151,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RYDSHIFA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0121
236726,Hungerstation,45014,73038,548153,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ALBAHAMAL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1003
2366831,Hungerstation,45014,68006,525122,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KHURAISSQ,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0120
2366832,Hungerstation,45014,68007,525123,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,PRNCSLRD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0219
236684,Hungerstation,45014,71004,537120,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MEDANDLUSH,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0305
236731,Hungerstation,45014,73039,548154,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,JEDCORNCH1,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,221
236736,Hungerstation,45014,73040,548155,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KHAMESBLD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,504
236741,Hungerstation,45014,73041,548156,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MEDSULTANA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,308
236766,Hungerstation,45014,73046,548161,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MAKDNACNTR,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1406
236771,Hungerstation,45014,73047,548162,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ABHLVNDAPK,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,505
